Processes,MatrixSize,Runs,Repetitions,AverageSeconds,MinSeconds,MaxSeconds,Speedup,Efficiency
1,4000,1,1,131.232913,131.232913,131.232913,1.000,1.000
2,4000,1,1,74.889735,74.889735,74.889735,1.752,0.876
3,4000,1,1,61.450239,61.450239,61.450239,2.136,0.712
4,4000,1,1,55.107625,55.107625,55.107625,2.381,0.595
5,4000,1,1,46.679871,46.679871,46.679871,2.811,0.562
6,4000,1,1,44.023728,44.023728,44.023728,2.981,0.497
7,4000,1,1,41.027393,41.027393,41.027393,3.199,0.457
8,4000,1,1,38.995885,38.995885,38.995885,3.365,0.421
9,4000,1,1,36.997542,36.997542,36.997542,3.547,0.394
10,4000,1,1,36.809997,36.809997,36.809997,3.565,0.357
11,4000,1,1,37.763631,37.763631,37.763631,3.475,0.316
12,4000,1,1,37.833142,37.833142,37.833142,3.469,0.289
